[Mastercad Black]|Opening Balance|undefined
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Leroy Merlin|LEROY JAGUARE     06/06
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|IFD*Vip Sushi 1 Peca
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Zara|ZARA VILA LOBOS
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|DAISO BRASIL
F. Automóveis:Manutenção-Revisão Auto|Outros|MITNORTH          01/04
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Pao de Açucar|PAO DE ACUCAR-1207
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Leroy Merlin|LEROY MERLIN JAGUA06/06
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|IFD*La Guapa Empanadas
B2. Educação (Mensal):Livros-Material Escolar|Livro Facil|LIVRO FACIL       10/10
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGARIA SAO PAULO08/12
E1. Extraordinárias (Ongoing):Presentes|Vivara|VIVARA SPM        08/08
B. Outras Receitas:Ajustes|Ajustes|ASSIST CARD
D. Viagens:Seguro|Outros|ASSIST CARD       01/06
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|IFD*Babbo Giovanni - V
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GLAUCIA MESCHIATTI IS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|IFD*Applebees
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Ingresso|KINOPLEX VILA OLIMPIA
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Lojas|FOTOPTICA LTDA    04/10
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|EMPORIO CANASTRA II
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Lojas|FOTOPTICA LTDA    04/06
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|IFOOD       *ifood
E1. Extraordinárias (Ongoing):Presentes|Lojas|ZAPALLA           01/02
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|IFD*Lets Cookies And C
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|CONIBASE
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Lojas|MLP*MAGAZINELUIZA 04/10
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|SAO BENTO MOVEIS P ESC
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CRISTAL
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|COMERCIO DE MATERIAIS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|IFD*Casa do Parmegiana
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|TOK&STOK          02/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Zara|ZARA VILA LOBOS   03/05
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|IFD*Seu Joao Botequim
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Ingresso|PP          *INGRE03/03
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|SAO PAULO AIRPORT
F. Automóveis:Manutenção-Revisão Auto|Outros|MITNORTH          02/04
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|IFD*Frango Frito Corif
D. Viagens:Tkt-Hotel-Auto|Gol Linhas Aereas|GOL LINHAS A*EFOUP01/05
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|OUTBACK OSASCO
B. Outras Receitas:Ajustes|Ajustes|GOL LINHAS A*EFOUPM019
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|IFD*Maui Poke House Os
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PAG*Lejazz
B. Outras Receitas:Ajustes|Ajustes|TOK&STOK
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|TOK&STOK          01/10
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PAG*UniaoOsascoSthShP
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PAG*LeJazzBarE
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGARIA SAO PAULO09/12
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|KATMANDU TRAIDING COME
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Lojas|LOJA MORRO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|IFD*China Brasil
D. Viagens:Seguro|Outros|ASSIST CARD       02/06
D. Viagens:Passeios-Restaurantes|Outros|BIG TOUR VIAGENS  01/03
B. Outras Receitas:Ajustes|Ajustes|BIG TOUR VIAGENS
D. Viagens:Tkt-Hotel-Auto|Outros|rentalcars.com
D. Viagens:Tkt-Hotel-Auto|Outros|VILLA SAPE POUSADA01/03
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|PAG*GoodParkValetLtda
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SI SENOR PINHEIROS
D. Viagens:Tkt-Hotel-Auto|Gol Linhas Aereas|GOL LINHAS A*EFOUP01/04
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|Drogaria_SP DROGAR01/05
B. Outras Receitas:Ajustes|Ajustes|Drogaria_SP DROGARIASA
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Lojas|FOTOPTICA LTDA    05/10
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURANTE CAICARAS I
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PAG*RESTAURANTECAICAR
E1. Extraordinárias (Ongoing):Presentes|Lojas|ZAPALLA           02/02
B. Outras Receitas:Devolução - Pagto Emprestimo|Outros|rentalcars.com
D. Viagens:Tkt-Hotel-Auto|Outros|VILLA SAPE HOTELARIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|FAZENDA DA COMADRE
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Decathlon|DECATHLON RAPOSO  01/10
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Lojas|FOTOPTICA LTDA    05/06
B. Outras Receitas:Ajustes|Decathlon|DECATHLON RAPOSO
C. Reembolsos:Reembolso|Outros|ESTORNO CUSTO DE IOF
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Lojas|MLP*MAGAZINELUIZA 05/10
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ALLEGRA GELATRO E CAFE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PAG*Congonhas
D. Viagens:Passeios-Restaurantes|Restaurantes|CASA DO JOAO
D. Viagens:Passeios-Restaurantes|Outros|TIAGO RODRIGUES PEREZ
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|MERCADO VL CRISTINA
D. Viagens:Passeios-Restaurantes|Outros|BIG-TOUR          01/10
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|HAMBUGRERIA
B. Outras Receitas:Ajustes|Ajustes|UNIDAS EXPRESS
D. Viagens:Passeios-Restaurantes|Restaurantes|D B PERALTA
D. Viagens:Passeios-Restaurantes|Restaurantes|VARANDAS
D. Viagens:Tkt-Hotel-Auto|Outros|UNIDAS EXPRESS    01/02
D. Viagens:Passeios-Restaurantes|Outros|BOCA DA ONCA ECOTOUR
D. Viagens:Passeios-Restaurantes|Restaurantes|VILA REBUA
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|POSTO DA PRACA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BOTECO JUANITA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|QUIOSQUE SORVETERIA
D. Viagens:Passeios-Restaurantes|Outros|RECANTO ECOLOGICO RIO
D. Viagens:Tkt-Hotel-Auto|Outros|HOTEL CABANAS
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Zara|ZARA VILA LOBOS   04/05
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|ARGETAX GTAX COLISEU
F. Automóveis:Manutenção-Revisão Auto|Outros|MITNORTH          03/04
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|MMW ESTACIONAMENTOS EI
D. Viagens:Tkt-Hotel-Auto|Gol Linhas Aereas|GOL LINHAS A*EFOUP02/05
D. Viagens:Tkt-Hotel-Auto|TAM Linhas Aereas|LATAM SITE        01/04
B. Outras Receitas:Ajustes|Ajustes|LATAM SITE
B1. Alimentação-Drogaria-Vet:Pet Center|Pet Center|PETZ OSASCO       01/02
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|TOK&STOK          02/10
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGARIA SAO PAULO10/12
D. Viagens:Seguro|Outros|ASSIST CARD       03/06
D. Viagens:Passeios-Restaurantes|Outros|BIG TOUR VIAGENS  02/03
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|DC PARKING ESTACIONAME
D. Viagens:Tkt-Hotel-Auto|Outros|VILLA SAPE POUSADA02/03
E1. Extraordinárias (Ongoing):Assinaturas-Licenças|Outros|NAVIGRAPH KB -E
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|EMPORIO IRAPUA LTDA ME
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|Drogaria_SP DROGAR02/05
D. Viagens:Tkt-Hotel-Auto|Gol Linhas Aereas|GOL LINHAS A*EFOUP02/04
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Lojas|FOTOPTICA LTDA    06/10
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Decathlon|DECATHLON RAPOSO  02/10
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Lojas|FOTOPTICA LTDA    06/06
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Lojas|MLP*MAGAZINELUIZA 06/10
D. Viagens:Passeios-Restaurantes|Outros|BIG-TOUR          02/10
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CALDO DE CANA CARDOSO
D. Viagens:Tkt-Hotel-Auto|Outros|UNIDAS EXPRESS    02/02
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|PAG*PolyGaragensE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CHEF BENON II
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Zara|ZARA VILA LOBOS   05/05
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|PL ORGANIZACAO DE ESTA
F. Automóveis:Manutenção-Revisão Auto|Outros|MITNORTH          04/04
D. Viagens:Tkt-Hotel-Auto|Gol Linhas Aereas|GOL LINHAS A*EFOUP03/05
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|FUJIYAMA SUSHI B
D. Viagens:Tkt-Hotel-Auto|TAM Linhas Aereas|LATAM SITE        02/04
B1. Alimentação-Drogaria-Vet:Pet Center|Pet Center|PETZ OSASCO       02/02
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|TOK&STOK          03/10
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|TATU BOLA VILA OLIMPIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|DONA DEOLA IND PAES
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGARIA SAO PAULO11/12
D. Viagens:Seguro|Outros|ASSIST CARD       04/06
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|EMPORIO NATURALLE CANA
D. Viagens:Passeios-Restaurantes|Outros|BIG TOUR VIAGENS  03/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|WITCH BEER CERVEJARIA
D. Viagens:Tkt-Hotel-Auto|Outros|VILLA SAPE POUSADA03/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PAG*ErikDaSilva
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|PAG*PerfilPark
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PECO PINHEIROS BAR TRA
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|Drogaria_SP DROGAR03/05
D. Viagens:Tkt-Hotel-Auto|Gol Linhas Aereas|GOL LINHAS A*EFOUP03/04
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Lojas|FOTOPTICA LTDA    07/10
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|DENGO CHOCOLATES SA
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Decathlon|DECATHLON RAPOSO  03/10
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PAGOS TANINO W.BAR Y S
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|TEMAKERIA E CIA
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|PRO BEAUTY ASSOCIADOS
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Lojas|MLP*MAGAZINELUIZA 07/10
D. Viagens:Passeios-Restaurantes|Outros|BIG-TOUR          03/10
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|IFD*Canto da Mata Forn
D. Viagens:Tkt-Hotel-Auto|Outros|HOTELES ATTON EL BOSQU
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|DECOLAR PARK
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|PROMED DISTRIBUIDORA D
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PAG*Brascatta
D. Viagens:Tkt-Hotel-Auto|Gol Linhas Aereas|GOL LINHAS A*EFOUP04/05
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURANTE MAPA DA G
D. Viagens:Tkt-Hotel-Auto|TAM Linhas Aereas|LATAM SITE        03/04
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Lojas|PAG*MobVillaLobos 01/06
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|FLASH PARK ESTACIONAME
B. Outras Receitas:Ajustes|Ajustes|PAG*MobVillaLobos
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PAG*Original
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Lojas|TOK&STOK          04/10
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|W. M. PONTES - CHOCOL
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGARIA SAO PAULO12/12
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|PAG*CenturyAPark
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PAG*PortorosePizzaria
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Leroy Merlin|LEROY MERLIN JAGUARE
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|POSTO AUTOMOTIVO AVANC
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|TOCCO MAT CONST
E2. Extraordinárias (One Time):Manutenção Residência|Outros|RENOVE DISTRIBUIDORA - matl para limpeza piscina
D. Viagens:Seguro|Outros|ASSIST CARD       05/06
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|FC ESTETICA EIRELI01/02
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|SUMMIT ESTETICA LTDA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|IFD*A Casa da Feijoada
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Leroy Merlin|LEROY MERLIN JAGUA01/03
B. Outras Receitas:Ajustes|Ajustes|DROGARIA SAO PAULO 266
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|C C OSASCO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SAPORE SA CAMPINAS
D. Viagens:Tkt-Hotel-Auto|Gol Linhas Aereas|GOL LINHAS A*EFOUP04/04
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|IFD*Smart Burger Sao F
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|Drogaria_SP DROGAR04/05
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Lojas|FOTOPTICA LTDA    08/10
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VALHALLA CERVEJARIA LT
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PAG*LaFavoritaFood
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PG *TON SHOW DE PIZZ
B. Outras Receitas:Ajustes|Ajustes|ELETRICA COPELI
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|FAMILIAMS
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Copeli Matl Eletrico|ELETRICA COPELI   01/03
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|MUNDO DO CABELEIREIRO
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Decathlon|DECATHLON RAPOSO  04/10
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|DCA ESTACIONAMENTO E
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Lojas|MLP*MAGAZINELUIZA 08/10
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|M.T NATURAL
D. Viagens:Passeios-Restaurantes|Outros|BIG-TOUR          04/10
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MOUSSECAKE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PG *TON CAFE NA LISB
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PAG*PecorinoBarE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PORKYS BURGUER
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|ULTRA PARK ESTACIONAME
E1. Extraordinárias (Ongoing):Presentes|Vivara|VIVARA XVL        01/03
B. Outras Receitas:Ajustes|Vivara|VIVARA XVL
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|AUTO POSTO TECFAC LTD CARVAO
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Telhanorte|TELHA NORTE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|JABERMOEMA
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Lojas|LUCIANA KELLER LOPES M
D. Viagens:Tkt-Hotel-Auto|Gol Linhas Aereas|GOL LINHAS A*EFOUP05/05
D. Viagens:Tkt-Hotel-Auto|TAM Linhas Aereas|LATAM SITE        04/04
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Lojas|PAG*MobVillaLobos 02/06
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Ingresso|MEGABILHETERI
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Lojas|TOK&STOK          05/10
E1. Extraordinárias (Ongoing):Presentes|Lojas|MISHA MORUMBI     01/07
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PANDA ALIMENTOS
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|CORELLO|CORELLO - SHOP MOR01/03
B. Outras Receitas:Ajustes|CORELLO|CORELLO - SHOP MORUMBI
B. Outras Receitas:Ajustes|Ajustes|MISHA MORUMBI
E2. Extraordinárias (One Time):Outras|Outros|PG *TAXA DE VISTO
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|FC ESTETICA EIRELI01/03
B. Outras Receitas:Ajustes|Ajustes|FC ESTETICA EIRELI
D. Viagens:Seguro|Outros|ASSIST CARD       06/06
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|FC ESTETICA EIRELI02/02
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|TRACES ESTACIONAMENTOS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|L H TSUCHIDA DOCERIA
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Leroy Merlin|LEROY MERLIN JAGUA02/03
G. Reembolsáveis:Médicos-Clinicas-Exames|Elaine Dias|DRA. ELAINE DIAS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|IFD*Bruttus Burger
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|Drogaria_SP DROGAR05/05
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|SENDAS DISTRIBUIDORA S
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Lojas|FOTOPTICA LTDA    09/10
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|HORTFRUT DO PAULINHO
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Copeli Matl Eletrico|ELETRICA COPELI   02/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|LADO BASIC
D. Viagens:Tkt-Hotel-Auto|TAM Linhas Aereas|TAM CALLCENTER    01/04
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Decathlon|DECATHLON RAPOSO  05/10
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Lojas|MLP*MAGAZINELUIZA 09/10
D. Viagens:Passeios-Restaurantes|Outros|BIG-TOUR          05/10
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Loungerie|LOUNGERIE         01/05
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Lojas|BrasilC*MIRA
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Arezzo|PG *AREZZO        01/05
E1. Extraordinárias (Ongoing):Presentes|Vivara|VIVARA XVL        02/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|IFD*Sajiky Osasco- Sus
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ZAHLE COMERCIO DE ALIM
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|GCF COMERCIO DE SU01/02 SUPLEMENTOS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|KOMBITAPIOCAS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|COMERCIO DE PASTEIS DA
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Lojas|DECO SKIN   -CT
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Lojas|LUPO VILLA L-CT   01/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|EM VILA DO CONDE BUFFE
E1. Extraordinárias (Ongoing):Presentes|Lojas|GRANADO PHAR-CT AS01/05
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Lojas|PAG*MobVillaLobos 03/06
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Zara|ZARA VILA LO-CT
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Calzedonia|ALNITAK COMERCIO DE MO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|STARBUCKS   -CT
E2. Extraordinárias (One Time):Médicos-Clinicas-Exames|Hospital Albert Einstein|EINSTEIN MORUMBI  01/03
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|ST MARCHE VILLA LOBOS
B. Outras Receitas:Ajustes|Ajustes|EINSTEIN MORUMBI
B. Outras Receitas:Ajustes|Ajustes|LUPO VILLA L-CT
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Lojas|TOK&STOK          06/10
E1. Extraordinárias (Ongoing):Presentes|Lojas|MISHA MORUMBI     02/07
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|CORELLO|CORELLO - SHOP MOR02/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PE DE MANGA
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|HELDCAR
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|FC ESTETICA EIRELI02/03
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Leroy Merlin|LEROY MERLIN JAGUA03/03
D. Viagens:Tkt-Hotel-Auto|Outros|HOTELSCOM7245057765569
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MADERO 222
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|FC ESTETICA EIRELI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|FEIRA DO CONDOMINIO OS
G. Reembolsáveis:Despesas de Trabalho|Outros|HVN - VILLA LOBOS 4
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Lojas|FOTOPTICA LTDA    10/10
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PAG*LedaMariaRochaDa
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Copeli Matl Eletrico|ELETRICA COPELI   03/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Decathlon|DECATHLON RAPOSO  06/10
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|SUMMIT ESTETICA LT01/12
D. Viagens:Tkt-Hotel-Auto|TAM Linhas Aereas|TAM CALLCENTER    02/04
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Lojas|MLP*MAGAZINELUIZA 10/10
D. Viagens:Passeios-Restaurantes|Outros|BIG-TOUR          06/10
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Loungerie|LOUNGERIE         02/05
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Arezzo|PG *AREZZO        02/05
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Lojas|LUPO VILLA LOBOS
E1. Extraordinárias (Ongoing):Presentes|Lojas|JOKER SOCKS - SHOP. ME
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Calzedonia|ALNITAK COMERCIO D01/04
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Zara|ZARA VILA LOBOS   01/05
E1. Extraordinárias (Ongoing):Presentes|Vivara|VIVARA XVL        03/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MC DONALDS
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|GCF COMERCIO DE SU02/02 SUPLEMENTOS
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|C BARBERSHOP TATTOO
D. Viagens:Tkt-Hotel-Auto|TAM Linhas Aereas|LATAM AIRLINES
