[Mastercard Personnalite]|Opening Balance|undefined
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|COREL AUTO POSTO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BABBO GIOVANNI
E2. Extraordinarias (One Time):Investimentos na Empresa|Outros|FAST SHOP
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CASIMIRO S LANCHONETE
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|ACTUAL PAPELARIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MUNDO DOS DOCES
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MC DONALD S MKC
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MC DONALD S XUX
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|O MUNDO DA XUXA
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|HERING KIDS ANALIA
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|AFS/AFW ANALIA FRA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AMERICA ANALIA FRANCO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BARBARO
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|POSTO UNIVERSIDADE
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|MOB-SHOP.VILLA LOB
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|DAIRIN DELI VERY
E2. Extraordinarias (One Time):Investimentos na Empresa|C&C|C&C VL LEOPOLDINA - C&C MOVEIS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LANCHES BURDOG
E2. Extraordinarias (One Time):Investimentos na Empresa|Outros|WORK MOVEIS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Tuhu|TUHU RESTAURANTE
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|CINEMARK ELDORADO
E1. Extraordinarias (Ongoing):Presentes|Outros|PUKET 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|LEVI-S-SH.VILLA LO
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|LEETZ 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|REST VICOLO NOSTRO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|STRIKER BAR-G.VIANNA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|APPLEBEE S GR VIANA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|YOGGI-SH.GRANJA VIANNA
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|POSTO JOMAR
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|ALERGO SHOP 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|REST FUJIYAMA
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|HERING STORE CENES
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ST ETIENNE
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGA RAIA FIL313
B. Outras Receitas:Ajustes|Outros|HERING KIDS ANALIA FRA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SABOR DAS MASSAS
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|TELLCENTER CELULARES
E2. Extraordinarias (One Time):Investimentos na Empresa|Outros|MAGAZINE LUIZA 
E2. Extraordinarias (One Time):Investimentos na Empresa|Outros|ALTO DA LAPA M CONST
B. Outras Receitas:Ajustes|A Plus|A PLUS IND COM ACESS L
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|A Plus|A PLUS IND COM ACE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURANTE FUJIYAMA
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|PUKET 
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Extra|LJ2066 EXTRA SHOPP CEN
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|C E A 275
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|PUKET VL LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|HERING
E1. Extraordinarias (Ongoing):Presentes|Outros|AUTHENTIC FEET-V.L
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PONTEIO GRILL
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|UCI BRASIL LTDA
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|AUTO P BONFIGLIOLI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CASA DO PAO DE QUEIJO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MONDO DI VINO
B. Outras Receitas:Ajustes|Outros|MOB-SHOP.VILLA LOBOS
B. Outras Receitas:Ajustes|Outros|HERING STORE CENESP
E1. Extraordinarias (Ongoing):Presentes|Outros|AUTHENTIC FEET-V.LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|EQUIPE ELLO S CABELEIR
D. Viagens:Tkt-Hotel-Auto|TAM Linhas Aereas|TAM VIAGENS-VILLA 
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|SIBER ROBOFORM GOODSYN
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GOSTINHO BRASILEIRO
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|ENOUGH COMERCIO DE ROU
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Pao de Açucar| PAO DE ACUCAR DELIVERY
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LEO CONFEITARIA
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|ESTAPAR VERBO DIVINO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ALEKAO
E1. Extraordinarias (Ongoing):Presentes|Ri Happy|HI HAPPY BRINQUEDOS
B. Outras Receitas:Ajustes|Outros|AUTHENTIC FEET-V.LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Calzedonia|CALZEDONIA BRASIL 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|THABRILE
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Zeka Cabelereiro|ZEKA ABRANTES
E1. Extraordinarias (Ongoing):Presentes|Outros|EMPORIO BODY STORE
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|CENTAURO CE 71
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ADM COM DE ALIMENTOS L
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|LIVRARIA CULTURA
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|CENTAURO 46-ELDORADO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AL H2 ARAB-SH.ELDORADO
E1. Extraordinarias (Ongoing):Presentes|Outros|MOB-SHOP.VILLA LOB
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|TOK E STOK PIN 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|THE JEANS B.-ELDOR
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|TICOS E TICAS 
B. Outras Receitas:Ajustes|TAM Linhas Aereas|TAM VIAGENS-VILLA LOBO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MUNDO VERDE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|NOVO SABOR
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|PAYPAL *CARA6792221 - ipod
B. Outras Receitas:Ajustes|Vila Romana|VILA ROMANA SUL NW
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|MAGAZINE LUIZA 
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|VERBO DIVINO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ALMANARA-VILLA LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LEONA PIZZA BAR LTDA
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|C&A-SH.VILLA LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|F2M COM DE DOCES
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|CHICLETARIA
E1. Extraordinarias (Ongoing):Presentes|Outros|IMAGINARIUM
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MC DONALD S RAP
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|CINEMARK RAPOSO TAVARE
E1. Extraordinarias (Ongoing):Assinaturas-Licencas|Netflix|NETFLIX
B. Outras Receitas:Ajustes|Outros|TOK E STOK PIN
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SABOR DAS MASSAS PAES
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ENCONTRO MINEIRO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LAMAR
B. Outras Receitas:Ajustes|Outros|TICOS E TICAS
B. Outras Receitas:Ajustes|Outros|THE JEANS B.-ELDORADO
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|TREND S ELDORADO 
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|APM SANTO AMERICO - festa junina
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MERCATTO
B. Outras Receitas:Ajustes|Outros|PBKIDS BRINQUEDOS
E1. Extraordinarias (Ongoing):Presentes|Outros|FAST SHOP 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|KOPENHAGEN VILA LOBOS
E1. Extraordinarias (Ongoing):Presentes|Ri Happy|HI HAPPY BRINQUEDO
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|HERING STORE CENES
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GRANO-SHOP.VILLA LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|JACQUES JANINE-V.LOBOS
E1. Extraordinarias (Ongoing):Presentes|Outros|ERVA DOCE - ISABEL
B. Outras Receitas:Ajustes|Outros|C&A-SH.VILLA LOBOS
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|C&A-SH.VILLA LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|WRAPS SHOP VL OLIMPIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|KINOPLEX VILA OLIMPIA
E1. Extraordinarias (Ongoing):Presentes|Ri Happy|RI HAPPY- LJ 29 
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|BEEF BOUTIQUE
G. Reembolsaveis:Despesas de Trabalho|Estapar|ESTAPAR COND ED SAO LU
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|C S VENEZA LTDA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AMERICA BOURBON
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CINEARTE POMPEIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PRACA SAO LOURENCO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MISTER C COM DE ALIM
G. Reembolsaveis:Despesas de Trabalho|Estapar|EINSTEN ESTACIONAMENT
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BOTTAGALLO
E1. Extraordinarias (Ongoing):Presentes|Outros|LOCCITANE VILA LOBOS
B. Outras Receitas:Ajustes|Outros|HOSP ALBERT EINSTEIN
G. Reembolsaveis:Medicos-Clinicas-Exames|Hospital Albert Einstein|HOSP ALBERT EINSTE
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|PAPEL CRAFT-V.LOBOS
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|PIXINGUINHA AUTO POSTO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Tuhu|TUHU
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|SARAIVA GRANJA VIANA20
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|MAGIC FEET-G.VIANN
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|DAIRIN BAR LANCHES
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|VILA MERCADO
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|MISTER C COM DE ALIM
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PARRILA SAO JOSE
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|VLW CRAWFORD VILLA
B. Outras Receitas:Ajustes|Ri Happy|RI HAPPY- LJ 29
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BABY BURGER
E2. Extraordinarias (One Time):Outras|Outros|VISA FEE FOR US DOS - VISTO EUA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MAX GRILL
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|KOPENHAGEN-UNIAO OSASC
E1. Extraordinarias (Ongoing):Presentes|Outros|MORANA ACESSORIOS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BRUMINSKI SUCOS
B. Outras Receitas:Ajustes|Governo|MOB
B2. Educacao (Mensal):Livros-Material Escolar|Livro Facil|LIVRO FACIL
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|QUILIBRADO RRESTAURANT
F. Automoveis:Manutencao-Revisao Auto|Outros|FRAZAO
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|K2 COMERCIAL ELETRICA
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|SCALA TRIFFIL 
G. Reembolsaveis:Despesas de Trabalho|Combustível|POSTO META CENESP
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ESPLANDA GRILL
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BADARO
B. Outras Receitas:Ajustes|Outros|CR DIFERENCA COTACAO U$
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LAR BIANCO
D. Viagens:Tkt-Hotel-Auto|Outros|SAMBAQUI HOTEL E REST
B. Outras Receitas:Ajustes|Outros|MAGIC FEET-G.VIANNA
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGA RAIA FIL313 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MILK MELLOW
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|LEO MADEIRAS
B. Outras Receitas:Ajustes|Outros|VLW CRAWFORD VILLA LOB
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|OMART TOYS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ALL PARMEGIANA
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|SHOPPING UNIAO DE OSAS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURANTE OLIVA
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|C&A SPE 735-ELDORA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AL H2 ARAB
D. Viagens:Tkt-Hotel-Auto|Outros|HOTEL ESTANC ATIBAINHA
E1. Extraordinarias (Ongoing):Assinaturas-Licencas|Panini|PANINI  - REVISTA MONICA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CASA BLANCA DO MORUMBI
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|PORTAL DA ALDEIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|THE FIFTIESVILLA LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CREPES E WAFFLES
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|JOGGING SPORTS FAST FO
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|PLANETA FRIO
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|CARDINALI E SANCHES CO
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|CHOCOLATES ICAB
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LANCHONETE 474
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CAFE ZIM
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Taxi|RADIO TAXI 503
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ESPACO ALADIN RESTAURA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LUGAR 166
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VERO ALIMENTOS
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGARIA SAO PAULO 512
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PATI PIVA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|JK NAGAYAMA ALIMENTACA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GALETOS MORUMBI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURANTE TANTRA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CANTINA SPERANZA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MANGERICAO L. BAR
D. Viagens:Tkt-Hotel-Auto|TAM Linhas Aereas|TAM VIAGENS-VILLA  - ALUGUEL AUTO
D. Viagens:Passeios-Restaurantes|Outros|WDW DISNEY TICKETS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MARIA MOLE PADARIA
D. Viagens:Compras|Outros|HALLOWEENCOSTUMES
D. Viagens:Compras|Outros|WM SUPERCENTER#4332
D. Viagens:Passeios-Restaurantes|Outros|THE OLIVE GARD00015479
D. Viagens:Passeios-Restaurantes|Outros|AKERSHUS RESTAURANT
D. Viagens:Compras|Outros|THE PUFFIN-S ROOST
D. Viagens:Passeios-Restaurantes|Outros|THE OLIVE GARD00010843
D. Viagens:Passeios-Restaurantes|Outros|FANTASY FAIRE
D. Viagens:Passeios-Restaurantes|Outros|HAUNTED MANSION CAR
D. Viagens:Passeios-Restaurantes|Outros|CASEY-S CORNER
D. Viagens:Passeios-Restaurantes|Outros|PECOS BILL-S CAFE
D. Viagens:Passeios-Restaurantes|Outros|BIBBIDIDI BOBBIDI B
D. Viagens:Compras|Outros|BUZZ LIGHTYEAR SHOP
D. Viagens:Compras|Outros|CURTAIN CALL COLLEC
D. Viagens:Passeios-Restaurantes|Outros|MK STROLLER MDSE SH
D. Viagens:Compras|Outros|CROCS STORE O0013
D. Viagens:Passeios-Restaurantes|Outros|LNDRY-S-ORLANDO
D. Viagens:Passeios-Restaurantes|Outros|SSFF RESTAURANT
D. Viagens:Compras|Outros|CLAIRE-S #6870
D. Viagens:Compras|Outros|DISNEYS CHARACTER W
D. Viagens:Compras|Outros|TH US OUTLETS
D. Viagens:Compras|Outros|OSH KOSH #140
D. Viagens:Passeios-Restaurantes|Outros|SEAWORLD
D. Viagens:Passeios-Restaurantes|Outros|SEAWORLD-FOOD SVC QPS
D. Viagens:Passeios-Restaurantes|Outros|CHEF MICKEY-S
D. Viagens:Passeios-Restaurantes|Outros|FOOD/MDSE COURT - P
D. Viagens:Compras|Outros|CHARACTER WAREHOUSE
D. Viagens:Compras|Outros|BANANA REPUBLIC OUTLET
D. Viagens:Compras|Outros|GAP OUTLET #7730
D. Viagens:Passeios-Restaurantes|Outros|RFC DISNEY ANIMAL REST
D. Viagens:Passeios-Restaurantes|Outros|WDW DINE TICKETS
D. Viagens:Compras|Outros|RFCDISNEYANIMALRETAIL
C. Reembolsos:Reembolso|Outros|LEGO IMAGINATION CTR
G. Reembolsaveis:Emprestimos|Outros|APPLE STORE #R143 - presentes marcelo e daniel
D. Viagens:Compras|Outros|LEGO IMAGINATION CTR
D. Viagens:Compras|Outros|DQ EMPORIUM
C. Reembolsos:Reembolso|Governo|ESTORNO CUSTO DE IOF
D. Viagens:Passeios-Restaurantes|Outros|CELLAIRIS - FL MAL
D. Viagens:Compras|Outros|DISNEY STORE #740
D. Viagens:Compras|Outros|GAP #4404/THE
D. Viagens:Passeios-Restaurantes|Outros|MAMA MELROSE-S RIST
D. Viagens:Compras|Outros|ENDOR VENDORS
D. Viagens:Compras|Outros|TOWER SHOP
D. Viagens:Compras|Outros|SEIKO 320024
D. Viagens:Compras|Outros|HESS 09575
D. Viagens:Compras|Outros|COACH #4007
D. Viagens:Passeios-Restaurantes|Outros|IOA GUEST SERV01120229
D. Viagens:Compras|Outros|MULBERRY 01003144
B. Outras Receitas:Ajustes|Outros|BMART MORUMBI
D. Viagens:Tkt-Hotel-Auto|Outros|ALAMO RENT-A-CAR
D. Viagens:Compras|Outros|DISNEY RESORT-POP C
D. Viagens:Compras|Outros|DISNEY RESORT-WDW -
C. Reembolsos:Reembolso|Outros|POLO / RL FCTRY OTLT #
D. Viagens:Compras|Dufry|DUTY FREE BY NUANCE US
D. Viagens:Compras|Outros|POLO / RL FCTRY OTLT #
D. Viagens:Compras|Outros|THE PUMA OUTLET STORE
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Taxi|GUARUCOOP
D. Viagens:Compras|Dufry|DUFRY
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MANJERICAO LOUNGE BAR
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|NOVA VILA COLMEIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|IL VERO CAFE
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|CINEMARK VILLA LOBOS
E1. Extraordinarias (Ongoing):Assinaturas-Licencas|Microsoft|MSFT *XBOX LIVE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AMERICA 9 DE JULHO
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|PAYPAL *ARVATODIGIT - windows 8
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PIZZA HUT 15
E1. Extraordinarias (Ongoing):Presentes|Outros|BIBI TOYS 
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|POSTO GIRASOL SHEEL
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|DISNEY-S PHOTOPASS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CHURRASCARIA SAVANA
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGALMEI LTDA
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|EINSTEN ESTACIONAMENT
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGASIL 306 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RAPOSO QUILO PIZZARIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VIENA ALBERT EINSTEIN.
E1. Extraordinarias (Ongoing):Presentes|Outros|PAYPAL *MINIINTHEBO - CAPAS DS
A1. Residencia Villas:Gas|Ultragaz|COM GAS FCO MORATO
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|PAYPAL *CLEVERBRIDG
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|CINEARTE POMPEIA
E1. Extraordinarias (Ongoing):Assinaturas-Licencas|Panini|PANINI 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|CREDITUM 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|CREDITUM
E1. Extraordinarias (Ongoing):Presentes|Outros|GREGORY VILA LOBOS
E1. Extraordinarias (Ongoing):Presentes|Outros|O BOTICARIO-V.LOBOS
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|KIREY ILUMIN E DEC
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|CARVOARIA MARTINS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LA GRASSA
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|AUTO POSTO CARANDA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|KOPENHAGEN-G.VIANNA
B. Outras Receitas:Ajustes|Outros|BIBI TOYS
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGASIL 095 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|TRATTORIA DO PIETRO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CENTER CAR AUTO POSTO
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGASIL 306
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|KALILI RESTAURANTE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GRAMADO GRILL RAPOSO
D. Viagens:Tkt-Hotel-Auto|CVC|CVC BRASIL FL 
D. Viagens:Tkt-Hotel-Auto|TAM Linhas Aereas|TAM AGENCIAS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|FINI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ANDIAMO-SHOP.BOURBON
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|ESTAPAR HILTON
E2. Extraordinarias (One Time):Investimentos na Empresa|Outros|BEST DESIGN-ELDORADO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|H3 SAO PAULO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ESPACO ESPECIALIDADES
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|TRACK & FIELD-V.LO
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|CALCADOS SANTA LOL
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AMOR AOS PEDACOS V.L.
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Taxi|COOPSETA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ILHA CAFE
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Lojas|LOJA CORINTHIANS LR0
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SALVE JORGE
